complex,prediction,n,entrez
Tctex1-channel complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS,3,12287; 13426; 100040531
TEAD1-YAP DNA-protein complex,CYTOSOL|LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,2,21676; 22601
TEAD2-multiprotein complex,LARGE PROTEIN COMPLEX,4,22601; 21677; 22630; 17475
TEAD2-YAP DNA-protein complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,22601; 21677
TEAD3-YAP DNA-protein complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,22601; 21678
TEAD4-YAP DNA-protein complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,22601; 21679
Tectonic complex,UNKNOWN,9,67978; 380718; 216274; 329795; 654470; 231214; 67590; 68642; 27078
Telomere-associated protein complex,NUCLEUS,6,21749; 21750; 497652; 28113; 101185; 57321
TERF1 homodimer complex,NUCLEUS,1,21749
TERF2-RAP1 complex,NUCLEUS,7,14375; 22596; 17535; 21750; 19360; 28113; 57321
"Ternary complex (CCD1, Dvl, Rac)",CYTOSOL,3,11651; 13542; 330938
"Ternary complex (GATA4, SRF, MYOCD)",NUCLEUS,3,20807; 14463; 214384
"Ternary complex (LRRC7, CAMK2a, ACTN4)",ACTIN BINDING PROTEINS,3,60595; 242274; 12322
"Ternary complex (TRAF2, FADD, TRADD)",CYTOSOL|UNKNOWN,3,22030; 14082; 71609
Tetrameric COG subcomplex,CYTOSOL|UNKNOWN,4,233824; 97484; 238123; 67542
TF-FVIIa-FXa-TFPI complex,PLASMA MEMBRANE|SECRETORY,4,14058; 14068; 21788; 14066
TF-TFRC complex,ENDOSOME,2,22042; 22041
TFC4-CTNNB1 complex,PLASMA MEMBRANE,2,12387; 21416
TFIIA complex,CYTOSOL|UNKNOWN,2,83602; 235459
TFIIA-TRF2 complex,NUCLEUS,3,83602; 235459; 21750
TFIID complex,NUCLEUS,14,228980; 21374; 270627; 21343; 24075; 226182; 99730; 68776; 24074; 66464; 108143; 319944; 63856; 70439
"TFIID complex, B-cell specific",NUCLEUS,12,228980; 21374; 270627; 21343; 24075; 226182; 99730; 68776; 24074; 66464; 108143; 72504
TFIID-beta complex,NUCLEUS,13,228980; 21374; 270627; 21343; 24075; 226182; 99730; 68776; 24074; 66464; 108143; 319944; 407786
TFIIE complex,LARGE PROTEIN COMPLEX,2,74197; 68153
TFIIF complex (transcription factor IIF),LARGE PROTEIN COMPLEX,2,68705; 98053
TFIIH transcription factor complex,NUCLEUS,10,13871; 13872; 14884; 12572; 66671; 17420; 23894; 209357; 14885; 66467
TFIIH transcription factor core complex,NUCLEUS,5,13872; 14884; 23894; 209357; 14885
TFIIIC containing-TOP1-SUB1 complex,NUCLEUS,7,21969; 20024; 233863; 71752; 269252; 70239; 98488
TFTC complex (TATA-binding protein-free TAF-II-containing complex),NUCLEUS,18,228980; 246103; 109115; 101206; 102162; 21343; 24075; 101943; 226182; 24074; 66464; 108143; 319944; 14534; 100683; 225895; 99730; 407786
TFTC-type histone acetyl transferase complex,NUCLEUS,11,26896; 23989; 13982; 19014; 14534; 59024; 234959; 327987; 70208; 216154; 100683
TGF-beta receptor,SECRETORY,2,21813; 21812
TGF-beta receptor I-Axin-SMAD3 complex,CYTOSOL|ENDOPLASMIC RETICULUM|NUCLEUS|PLASMA MEMBRANE|SECRETORY|UNKNOWN,3,12005; 21812; 17127
TGF-beta receptor II-TGF-beta receptor I-TGF-beta1 complex,ENDOPLASMIC RETICULUM|SECRETORY|UNKNOWN,3,21803; 21812; 21813
TGF-beta receptor II-TGF-beta receptor I-TGF-beta3 complex,SECRETORY,3,21809; 21812; 21813
TGF-beta receptor II-TGF-beta1 complex,UNKNOWN,2,21803; 21813
TGF-beta receptor II-TGF-beta3 complex,SECRETORY|UNKNOWN,2,21809; 21813
TGF-beta receptor-SMAD3 complex,SECRETORY,3,21812; 21813; 17127
TGF-beta-receptor type I homodimer complex,ENDOPLASMIC RETICULUM|PLASMA MEMBRANE|SECRETORY,1,21812
TGF-beta-receptor type II homodimer complex,SECRETORY|UNKNOWN,1,21813
TGF-beta-receptor-PAR6 complex,SECRETORY,3,21812; 21813; 56513
TGF-beta-receptor-Strap complex,LARGE PROTEIN COMPLEX|SECRETORY|UNKNOWN,3,21813; 21812; 20901
TGF-betaR2-TGF-beta3 complex,SECRETORY|UNKNOWN,2,21809; 21813
THO complex,LARGE PROTEIN COMPLEX|NUCLEUS,5,107829; 66231; 386612; 331401; 225160
THRB-RXRB complex,NUCLEUS,2,21834; 20182
THSD1-FAK-talin-vinculin complex,CYTOSOL|UNKNOWN,4,22330; 14083; 56229; 21894
"Thyroglobulin folding complex (Tg, Hspa5, Erp29, Grp94)",ENDOPLASMIC RETICULUM,4,14828; 21819; 67397; 22027
"Thyroglobulin folding complex (Tg, Hspa5, Pdi, Erp29, Grp94)",ENDOPLASMIC RETICULUM,5,14828; 21819; 18600; 67397; 22027
"Thyroglobulin folding complex (Tg, Pdi, Erp29)",ENDOPLASMIC RETICULUM,3,21819; 18600; 67397
Tiam1-Efnb1-Epha2 complex,PLASMA MEMBRANE,3,13641; 13836; 21844
TIAM1-EFNB1-EPHA2 complex,PLASMA MEMBRANE,3,13836; 13641; 21844
TIAM1-GRIN1 complex,UNKNOWN,2,14810; 21844
Tiam2-PAR-3-aPKC-PAR-6-Cdc42-GTP complex,LARGE PROTEIN COMPLEX,5,24001; 18759; 56513; 12540; 93742
Tiam2-PAR-3-aPKC-PAR-6-Rac1-GTP complex,LARGE PROTEIN COMPLEX|UNKNOWN,5,24001; 18759; 56513; 19353; 93742
TIF-IB complex,NUCLEUS,4,21374; 21339; 21340; 21341
TIF1gamma-SMAD2-SMAD3 complex,LARGE PROTEIN COMPLEX,3,17127; 17126; 94093
"TIM (TIM17A, TIM17B, TIM23, TIM44) complex, mitochondrial",MITOCHONDRIA,4,53600; 21856; 21855; 21854
"TIM (TIM9, TIM10) complex, mitochondrial",MITOCHONDRIA,2,30059; 30056
Tim17a-Tim23 complex,MITOCHONDRIA,2,21854; 53600
"TIM17A-TIM23 complex, mitochondrial",MITOCHONDRIA,2,53600; 21854
"TIM17B-TIM23 complex, mitochondrial",MITOCHONDRIA,2,53600; 21855
TIM23-TOM22-TIM50-HSD3B2 complex,MITOCHONDRIA,4,53600; 15492; 66525; 223696
TIM50-COIL complex,MITOCHONDRIA,2,12812; 66525
"TIM50-TIM23 complex, mitochondrial",MITOCHONDRIA,2,53600; 66525
TIMM8A-TIMM13 complex,MITOCHONDRIA,2,30058; 30055
TIMM8A-TIMM13-TIMM23 complex,MITOCHONDRIA,3,53600; 30058; 30055
TIN2 complex,NUCLEUS,4,21750; 497652; 28113; 101185
TIP49-TIP48-BAF53 complex,LARGE PROTEIN COMPLEX,3,56456; 20174; 56505
Tip5-Dnmt-Hdac1 complex,NUCLEUS,4,433759; 13436; 13433; 116848
TIP5-DNMT-HDAC1 complex,NUCLEUS,4,13433; 433759; 13436; 116848
TIP60 histone acetylase complex,LARGE PROTEIN COMPLEX|NUCLEUS,5,56456; 81601; 20174; 56505; 100683
Tis7-Sin3-Hdac1-Ncor1-Sap30 complex,NUCLEUS,5,433759; 60406; 15982; 20185; 20467
TLE1 corepressor complex (MASH1 promoter-corepressor complex),NUCLEUS,10,18148; 11545; 17975; 15525; 77579; 11461; 21974; 21885; 53610; 19360
TLE1 homodimer complex,NUCLEUS|UNKNOWN,1,21885
TLE1-TLE2 complex,NUCLEUS|UNKNOWN,2,21885; 21886
TLE2 homodimer complex,UNCLASSIFIED,1,21886
Tle2-Hes1 complex,UNCLASSIFIED,2,15205; 21886
Tle3-Aes complex,ENDOPLASMIC RETICULUM|NUCLEUS|UNKNOWN,2,14797; 21887
TLR1-TLR2 complex,SECRETORY,2,24088; 21897
Tlr9-Hsp90b1-Cnpy3 complex,ENDOPLASMIC RETICULUM,3,22027; 72029; 81897
TMEM173-TBK1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,72512; 56480
TMP21-P24 complex,GOLGI,2,22360; 68581
Tmsb4x-Lims1-Ilk complex,LARGE PROTEIN COMPLEX,3,16202; 19240; 110829
"TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)",CYTOSOL,12,67857; 105522; 12675; 71474; 21402; 18034; 19697; 19696; 26965; 56489; 243819; 12234
"TNF-alpha/Nf-kappa B signaling complex (RPL6, RPL30, RPS13, CHUK, DDX3X, NFKB2, NFKBIB, REL, IKBKG, NFKB1, MAP3K8, RELB, GLG1, NFKBIA, RELA, TNIP2,  GTF2I)",CYTOSOL,17,13205; 12675; 18033; 18035; 26410; 68052; 19946; 14886; 18034; 19698; 19988; 19697; 19696; 18036; 231130; 20340; 16151
"TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)",CYTOSOL|UNKNOWN,10,16150; 227648; 12675; 53376; 18034; 19697; 19696; 50754; 53859; 16151
TNF-alpha/NF-kappa B signaling complex 5,LARGE PROTEIN COMPLEX,25,16150; 12675; 70333; 20019; 18033; 328949; 72416; 76784; 16647; 245841; 66491; 21402; 18034; 19697; 19696; 544963; 26965; 18036; 18567; 64424; 20017; 226525; 103583; 20018; 16151
TNF-alpha/NF-kappa B signaling complex 6,LARGE PROTEIN COMPLEX,14,16150; 12675; 15519; 15516; 14113; 67891; 68052; 27207; 19946; 26961; 19988; 12539; 53859; 16151
TNF-alpha/NF-kappa B signaling complex 9,CYTOSOL,5,12675; 15516; 14229; 18036; 12539
TNF-R1 signaling complex,CYTOSOL|UNKNOWN,5,21926; 21937; 22030; 19766; 71609
"TOM complex (Tom7, Tom22, Hsp60), mitochondrial",MITOCHONDRIA,3,66169; 15510; 223696
TOM20-TOM22-pOTC complex,MITOCHONDRIA,3,18416; 67952; 223696
"TOM7 120K intermediate assembly complex (TOM7, TOM22, TOM40), mitochondrial",MITOCHONDRIA,3,53333; 223696; 66169
TOP3B-c complex,LARGE PROTEIN COMPLEX,2,21976; 219249
Toposome,NUCLEUS,7,15381; 21973; 13211; 20833; 192159; 20815; 56200
TorsinA-TorsinB complex,ENDOPLASMIC RETICULUM,2,30931; 30934
Tp53-BAK1 complex,MITOCHONDRIA,2,12018; 22059
TRAF2-cIAP1/BIRC2 complex,CYTOSOL|UNKNOWN,2,22030; 11797
TRAF2-MALT1 complex,CYTOSOL|UNKNOWN,2,22030; 240354
TRAF2-TRADD complex,CYTOSOL|UNKNOWN,2,22030; 71609
TRAF6 homo-oligomer complex,CYTOSOL|UNKNOWN,1,22034
TRAF6-MALT1 complex,CYTOSOL|UNKNOWN,2,240354; 22034
"Traf6-p62-aPKC complex, RANK-L stimulated",UNKNOWN,3,22034; 18759; 18412
"Transcription elongation factor complex (SUPT5H, CDK9, CCNT1)",LARGE PROTEIN COMPLEX|NUCLEUS,3,20924; 12455; 107951
transcription factor IIIC multisubunit complex,NUCLEUS,5,233863; 71752; 269252; 70239; 98488
Translocon-associated protein (TRAP) complex,ENDOPLASMIC RETICULUM,4,107513; 66256; 20832; 67437
TRAP complex,NUCLEUS,16,26896; 23989; 21833; 19014; 59024; 234959; 230753; 216154; 69792; 51813; 108098; 68975; 28077; 67381; 327987; 67279
TRAP-SMCC mediator complex,NUCLEUS,10,381379; 20933; 19014; 75613; 80509; 67219; 67381; 234959; 67224; 66172
TRAPP complex,LARGE PROTEIN COMPLEX,14,27096; 67091; 66226; 216131; 692132; 320714; 78232; 66682; 217449; 76510; 59005; 60409; 75964; 245828
"TRBP containing complex (DICER, TRBP, AGO2, RPL7A, EIF6, MOV10)",LARGE PROTEIN COMPLEX,6,16418; 27176; 21357; 17454; 239528; 192119
"TRF-Rap1 complex I, 2MD",NUCLEUS,6,21951; 21749; 21750; 28113; 101185; 57321
TRF1 telomere length regulation complex,NUCLEUS,3,21951; 21749; 28113
TRF1-TIN2 complex,NUCLEUS,4,21749; 497652; 28113; 101185
TRF2-Ku complex,NUCLEUS,3,14375; 22596; 21750
TRF2-Rap1 complex III,NUCLEUS,2,21750; 57321
TRIB3-DDIT3 complex,NUCLEUS,2,13198; 228775
TRIM25-G3BP2 complex,LARGE PROTEIN COMPLEX,2,217069; 23881
TRIM27-RB1 complex,NUCLEUS,2,19645; 19720
Trip(Br1)-Dp1-E2F1 complex,NUCLEUS,3,21781; 13555; 55942
Trip(Br2)-Dp1-E2F1 complex,NUCLEUS,3,21781; 13555; 58172
Tripeptidyl peptidase,LARGE PROTEIN COMPLEX,1,22019
TrkB-Slp1-Rab27b-Crmp2-Kinesin-1 complex,CYTOSOL|LARGE PROTEIN COMPLEX,7,16593; 12934; 16573; 269589; 18212; 16572; 80718
tRNA splicing endonuclease,NUCLEUS|UNKNOWN,5,76265; 381802; 66637; 98985; 66078
TROY-NGR-LINGO1 complex,SECRETORY,3,235402; 65079; 29820
TRP1-G alpha-11-IP3R3-CAV1 signaling complex,PLASMA MEMBRANE,4,14672; 22063; 12389; 16440
Trpc1-dystrophin-alpha1-syntrophin complex,PLASMA MEMBRANE,3,13405; 22063; 20648
Trpc1-Stim1-Orai1 complex,ENDOPLASMIC RETICULUM,3,20866; 109305; 22063
TRPC1-STIM1-ORAI1 complex,PLASMA MEMBRANE,3,22063; 109305; 18163
TRPC1-TRPC3-TRPC7 complex,CYTOSOL|NUCLEUS,3,22063; 22065; 26946
"TRPC3-TRPC4 channel complex, redox-sensitive",CYTOSOL,2,22065; 22066
TRPV5-S100A10-annexin 2 complex,PLASMA MEMBRANE,3,12306; 20194; 194352
TRRAP-BAF53-HAT complex,NUCLEUS,2,56456; 100683
"TSC (TSC1, TSC2, AXIN, GSK3) complex",UNKNOWN,4,12005; 22084; 56637; 64930
TSC1-TSC2 complex,CYTOSOL|UNKNOWN,2,22084; 64930
TSC2-DVL complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,13542; 22084
TSC2-GSK3-AXIN-DVL complex,LARGE PROTEIN COMPLEX|UNKNOWN,4,13542; 12005; 22084; 56637
TSC2-HERC1 complex,CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,22084; 235439
TTN-TCAP complex,UNKNOWN,2,21393; 22138
TTP-AGO2 complex,LARGE PROTEIN COMPLEX,2,22695; 239528
TTP-AGO4 complex,UNKNOWN,2,22695; 76850
TTR-RBP complex,CYTOSOL,2,19662; 22139
Tubulin polyglutamylase complex,LARGE PROTEIN COMPLEX,5,66648; 319953; 102747; 110012; 66257
Tumor necrosis factor receptor 1 signaling complex,CYTOSOL|UNKNOWN,4,21937; 22030; 11797; 71609
Txnip-Nlrp3-Asc-Casp1 complex,CYTOSOL|PLASMA MEMBRANE,4,12362; 56338; 216799; 66824
Ubiquilin-proteasome complex,LARGE PROTEIN COMPLEX,6,26440; 19166; 26443; 22215; 54609; 56085
Ubiquilin-VCP-erasin complex,ENDOPLASMIC RETICULUM|LARGE PROTEIN COMPLEX,3,269523; 67812; 56085
"Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)",LARGE PROTEIN COMPLEX,6,11863; 11622; 100043674; 213773; 72584; 13194
"Ubiquitin E3 ligase (Asb2, Tceb1, Tceb2, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 67923; 56438; 65256; 75717
"Ubiquitin E3 ligase (BTRC, CUL1, RBX1, SKP1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 12234
"Ubiquitin E3 ligase (CCDC22, COMMD8, CUL3)",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,3,54638; 26554; 27784
"Ubiquitin E3 ligase (CDC34, CUL1, RBX1)",CYTOSOL|LARGE PROTEIN COMPLEX,3,216150; 100043674; 26965
"Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)",LARGE PROTEIN COMPLEX,5,100043674; 21402; 26965; 18002; 12234
"Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 99375; 13194; 67177
"Ubiquitin E3 ligase (CHEK1, CUL1)",LARGE PROTEIN COMPLEX,2,12649; 26965
"Ubiquitin E3 ligase (CHEK1, CUL4A)",LARGE PROTEIN COMPLEX,2,12649; 99375
"Ubiquitin E3 ligase (CRY1, SKP1A, CUL1, FBXL3)",LARGE PROTEIN COMPLEX,4,21402; 26965; 12952; 50789
"Ubiquitin E3 ligase (CRY2, SKP1A, CUL1, FBXL3)",LARGE PROTEIN COMPLEX,4,21402; 26965; 12953; 50789
"Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)",LARGE PROTEIN COMPLEX,8,100043674; 21402; 209318; 27401; 26965; 71745; 26554; 108679
"Ubiquitin E3 ligase (CUL1, FBXO10, SKP1)",LARGE PROTEIN COMPLEX,3,21402; 26965; 269529
"Ubiquitin E3 ligase (CUL1, FBXO17, RBX1, SKP1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 50760
"Ubiquitin E3 ligase (CUL1, FBXO27, RBX1, SKP1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 233040
"Ubiquitin E3 ligase (CUL1, FBXO44, RBX1, SKP1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 230903
"Ubiquitin E3 ligase (CUL1, FBXO6, RBX1, SKP1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 50762
"Ubiquitin E3 ligase (CUL1, RBX1, SKP1)",LARGE PROTEIN COMPLEX,3,100043674; 21402; 26965
"Ubiquitin E3 ligase (Cul3, ENC1, Rbx1)",LARGE PROTEIN COMPLEX,3,26554; 13803; 56438
"Ubiquitin E3 ligase (Cul3, GAN1, Rbx1)",LARGE PROTEIN COMPLEX,3,26554; 56438; 209239
"Ubiquitin E3 ligase (CUL3, KEAP1, RBX1)",LARGE PROTEIN COMPLEX,3,100043674; 26554; 50868
"Ubiquitin E3 ligase (CUL3, KLHL12, PEF1, PDCD6)",LARGE PROTEIN COMPLEX,4,18570; 26554; 240756; 67898
"Ubiquitin E3 ligase (CUL3, KLHL20, RBX1)",CYTOSOL|LARGE PROTEIN COMPLEX,3,100043674; 26554; 226541
"Ubiquitin E3 ligase (CUL3, KLHL24, RBX1)",CYTOSOL|LARGE PROTEIN COMPLEX,3,100043674; 26554; 75785
"Ubiquitin E3 ligase (CUL3, KLHL25)",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,26554; 207952
"Ubiquitin E3 ligase (CUL3, KLHL3, WNK1)",LARGE PROTEIN COMPLEX,3,26554; 232341; 100503085
"Ubiquitin E3 ligase (CUL3, KLHL3, WNK4)",LARGE PROTEIN COMPLEX,3,26554; 69847; 100503085
"Ubiquitin E3 ligase (CUL3, KLHL3)",LARGE PROTEIN COMPLEX,2,26554; 100503085
"Ubiquitin E3 ligase (Cul3, Klhl41, Rbx1)",LARGE PROTEIN COMPLEX,3,228003; 26554; 56438
"Ubiquitin E3 ligase (CUL3, KLHL42)",CYTOSOL|LARGE PROTEIN COMPLEX|UNKNOWN,2,26554; 232539
"Ubiquitin E3 ligase (CUL3, KLHL7, RBX1)",LARGE PROTEIN COMPLEX,3,100043674; 26554; 52323
"Ubiquitin E3 ligase (CUL3, KLHL8)",LARGE PROTEIN COMPLEX,2,26554; 246293
"Ubiquitin E3 ligase (CUL3, KLHL9, KLHL13, RBX1)",CYTOSOL,4,100043674; 26554; 242521; 67455
"Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)",LARGE PROTEIN COMPLEX,3,100043674; 99375; 13194
"Ubiquitin E3 ligase (DDB1, DDB2, CUL4A, CUL4B, RBX1)",LARGE PROTEIN COMPLEX,5,100043674; 99375; 72584; 13194; 107986
"Ubiquitin E3 ligase (DDB1, DYRK2, EDD, VPRBP)",LARGE PROTEIN COMPLEX,4,70790; 13194; 69181; 321006
"Ubiquitin E3 ligase (DDIT4, DDB1, BTRC, CUL4A)",LARGE PROTEIN COMPLEX,4,99375; 13194; 74747; 12234
"Ubiquitin E3 ligase (DET1, DDB1, CUL4A, RBX1, COP1)",LARGE PROTEIN COMPLEX,5,100043674; 99375; 13194; 76375; 26374
"Ubiquitin E3 ligase (Fbxl20, Skp1, Cul1)",LARGE PROTEIN COMPLEX,3,72194; 21402; 26965
"Ubiquitin E3 ligase (Fbxo15, Cul1, Skp1a)",LARGE PROTEIN COMPLEX,3,50764; 21402; 26965
"Ubiquitin E3 ligase (FBXO18, SKP1A, CUL1, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 50755
"Ubiquitin E3 ligase (Fbxo2, Skp1a, Cul1, Rbx1)",LARGE PROTEIN COMPLEX,4,56438; 230904; 21402; 26965
"Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 76454
"Ubiquitin E3 ligase (Fbxo32, Skp1a, Cul1, Rbx1)",LARGE PROTEIN COMPLEX,4,56438; 67731; 21402; 26965
"Ubiquitin E3 ligase (FBXW11, SKP1, CUL1)",LARGE PROTEIN COMPLEX,3,21402; 26965; 103583
"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 103583
"Ubiquitin E3 ligase (FBXW7, CUL1, SKP1A, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 50754
"Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)",CYTOSOL|LARGE PROTEIN COMPLEX,4,100043674; 21402; 231672; 170823
"Ubiquitin E3 ligase (H2AFY, SPOP, CUL3)",LARGE PROTEIN COMPLEX|NUCLEUS,3,20747; 26914; 26554
"Ubiquitin E3 ligase (Lrrc41, Tceb1, Tceb2, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 67923; 56438; 230654; 75717
"Ubiquitin E3 ligase (Neurl2, Tceb1, Tceb2, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 56438; 67923; 415115; 75717
"Ubiquitin E3 ligase (NFKBIA, BTRC, CUL1, SKP1A)",LARGE PROTEIN COMPLEX,4,18035; 21402; 26965; 12234
"Ubiquitin E3 ligase (NFKBIA, FBXW11, CUL1, SKP1A)",LARGE PROTEIN COMPLEX,4,18035; 21402; 26965; 103583
"Ubiquitin E3 ligase (NIPA, SKP1A, CUL1, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 26965; 232679
"Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)",LARGE PROTEIN COMPLEX,4,21372; 21402; 20437; 12301
"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)",LARGE PROTEIN COMPLEX,3,21402; 26965; 12234
"Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)",LARGE PROTEIN COMPLEX,3,21402; 26965; 30050
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",CYTOSOL|LARGE PROTEIN COMPLEX,4,100043674; 21402; 66515; 231672
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, CKS1B, RBX1)",LARGE PROTEIN COMPLEX,5,54124; 100043674; 21402; 27401; 26965
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",LARGE PROTEIN COMPLEX,4,100043674; 21402; 27401; 26965
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)",LARGE PROTEIN COMPLEX,3,21402; 27401; 26965
"Ubiquitin E3 ligase (SMAD3, BTRC, CUL1, SKP1A, RBX1)",LARGE PROTEIN COMPLEX,5,100043674; 21402; 17127; 26965; 12234
Ubiquitin E3 ligase (SMAD7-SMURF1) - TGF(beta),SECRETORY|UNKNOWN,4,17131; 21812; 21813; 75788
"Ubiquitin E3 ligase (SMAD7, SMURF1)",UNKNOWN,2,17131; 75788
"Ubiquitin E3 ligase (SMAD7, SMURF1) - TGFBR1",ENDOPLASMIC RETICULUM|PLASMA MEMBRANE|SECRETORY|UNKNOWN,3,17131; 21812; 75788
"Ubiquitin E3 ligase (SMAD7, SMURF2)",CYTOSOL|UNKNOWN,2,17131; 66313
"Ubiquitin E3 ligase (SMURF2, SMAD3) - SnoN complex, TGF(beta)-dependent",CYTOSOL,3,20482; 17127; 66313
"Ubiquitin E3 ligase (SMURF2, SMAD7) - TGF(beta)",SECRETORY|UNKNOWN,4,17131; 21812; 21813; 66313
"Ubiquitin E3 ligase (Socs1, Tceb1, Tceb2, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 67923; 56438; 75717; 12703
"Ubiquitin E3 ligase (SPOP, DAXX, CUL3)",LARGE PROTEIN COMPLEX|NUCLEUS|UNKNOWN,3,20747; 26554; 13163
"Ubiquitin E3 ligase (Tceb1, Tceb2, Tceb3, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 67923; 56438; 27224; 75717
"Ubiquitin E3 ligase (TRIM25, DDX58)",CYTOSOL|UNKNOWN,2,230073; 217069
"Ubiquitin E3 ligase (UBADC1, RNF123)",CYTOSOL|UNKNOWN,2,84585; 98766
"Ubiquitin E3 ligase (Vhl, Tceb1, Tceb2, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 67923; 56438; 22346; 75717
"Ubiquitin E3 ligase (Wsb1, Tceb1, Tceb2, Cul5, Rbx1)",LARGE PROTEIN COMPLEX,5,67673; 67923; 56438; 78889; 75717
"Ubiquitin ligase (UBE2N, UBE2V2)",LARGE PROTEIN COMPLEX,2,93765; 70620
Ubiquitin-conjugating enzyme E2 (UBC13-UEV1A),LARGE PROTEIN COMPLEX,2,93765; 66589
Ucp3-Hax-1 complex,MITOCHONDRIA,2,23897; 22229
Ufd1-Npl4 complex,LARGE PROTEIN COMPLEX,2,22230; 217365
ULK1-ATG13-ATG14-PIK3C3 complex,CYTOSOL|UNKNOWN,4,51897; 22241; 100504663; 225326
ULK1-ATG13-RB1CC1  complex,UNKNOWN,3,51897; 22241; 12421
ULK1-ATG13-RB1CC1-ATG101 complex,UNKNOWN,4,51897; 22241; 12421; 68118
ULK2-ATG13-RB1CC1 complex,CYTOSOL|UNKNOWN,3,51897; 29869; 12421
"Upf complex (UPF1, UPF2, UPF3a)",LARGE PROTEIN COMPLEX,3,19704; 67031; 326622
"Upf complex (UPF1, UPF2, UPF3b)",LARGE PROTEIN COMPLEX,3,19704; 68134; 326622
URI complex (Unconventional prefoldin RPB5 Interactor),LARGE PROTEIN COMPLEX,9,19777; 66420; 21402; 27401; 26965; 18637; 56792; 20174; 56505
USF1-USF2 complex,NUCLEUS,2,22278; 22282
USH2 complex,UNCLASSIFIED,4,22283; 110789; 100503041; 73750
Ush2A-Gpr98-Whrn-Pdzd7 complex,UNCLASSIFIED,4,22283; 73750; 100503041; 110789
USP1-UAF1 complex,LARGE PROTEIN COMPLEX|UNKNOWN,2,230484; 67561
USP12-UAF1 complex,LARGE PROTEIN COMPLEX,2,22217; 67561
USP22-SAGA complex,NUCLEUS,8,101206; 24075; 217218; 231151; 14534; 407786; 216825; 100683
USP46-UAF1 complex,LARGE PROTEIN COMPLEX,2,69727; 67561
UTM-SGCE-DAG1-CAV1-NOS3 complex,PLASMA MEMBRANE|SECRETORY,5,20392; 18127; 22288; 12389; 13138
Utrophin complex,ACTIN BINDING PROTEINS|PLASMA MEMBRANE|UNKNOWN,2,22288; 20649
v-ATPase-Ragulator-AXIN/LKB1-AMPK complex,UNKNOWN,14,12005; 68576; 11966; 11984; 11964; 19082; 11972; 66096; 105787; 20869; 66508; 56692; 83409; 19079
